packet_id	packet_time	src	dst	proto	length	info
1	2020-03-21 23:47:16	192.168.1.10	172.217.27.142	Https	66	Ether / IP / TCP 192.168.1.10:11079 > 172.217.27.142:https S
2	2020-03-21 23:47:16	192.168.1.10	222.186.150.159	TCP	66	Ether / IP / TCP 192.168.1.10:11073 > 222.186.150.159:20395 S
3	2020-03-21 23:47:16	fe80::f141:b4f2:11de:b126	fe80::1	DNS	102	Ether / IPv6 / UDP / DNS Qry "b'analytics.yinxiang.com.'" 
4	2020-03-21 23:47:16	fe80::1	fe80::f141:b4f2:11de:b126	DNS	175	Ether / IPv6 / UDP / DNS Ans 
5	2020-03-21 23:47:16	192.168.1.10	14.215.177.38	Https	54	Ether / IP / TCP 192.168.1.10:11062 > 14.215.177.38:https FA
6	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	66	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https S
7	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	66	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 SA
8	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	54	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https A
9	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	237	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https PA / Raw
10	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	60	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 A / Padding
11	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	1486	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 A / Raw
12	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	1486	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 A / Raw
13	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	744	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 PA / Raw
14	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	54	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https A
15	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	180	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https PA / Raw
16	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	328	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 PA / Raw
17	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	1445	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https PA / Raw
18	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	352	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 PA / Raw
19	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	88	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 PA / Raw
20	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	54	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https A
21	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	54	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https FA
22	2020-03-21 23:47:16	154.8.190.35	192.168.1.10	Https	60	Ether / IP / TCP 154.8.190.35:https > 192.168.1.10:11089 FA / Padding
23	2020-03-21 23:47:16	192.168.1.10	154.8.190.35	Https	54	Ether / IP / TCP 192.168.1.10:11089 > 154.8.190.35:https A
24	2020-03-21 23:47:16	192.168.1.10	172.217.27.142	Https	66	Ether / IP / TCP 192.168.1.10:11074 > 172.217.27.142:https S
25	2020-03-21 23:47:16	192.168.1.10	180.163.32.152	UDP	436	Ether / IP / UDP 192.168.1.10:58856 > 180.163.32.152:8000 / Raw
26	2020-03-21 23:47:16	192.168.1.10	222.186.150.159	TCP	66	Ether / IP / TCP 192.168.1.10:11088 > 222.186.150.159:20395 S
27	2020-03-21 23:47:16	192.168.1.10	172.217.27.142	Https	66	Ether / IP / TCP 192.168.1.10:11080 > 172.217.27.142:https S
28	2020-03-21 23:47:16	240e:d4:2efe:200:ec81:68fb:eda9:5f2a	2404:6800:4008:800::200e	Https	86	Ether / IPv6 / TCP 240e:d4:2efe:200:ec81:68fb:eda9:5f2a:11075 > 2404:6800:4008:800::200e:https S
